province,district,total_population,total_households,displaced_individuals,displaced_households,monthly_income_pkr,family_size,house_condition,distance_from_relief_center_km,previous_flood_damage,access_to_clean_water,livestock_lost,crops_damaged,children_under_age_5,disabled_family_members,displacement_ratio,flood_risk_level,aid_needed
KPK,Lower Kohistan,1460.0,105.0,0.0,0.0,11639,6,1,70,1,1,1,1,1,0,0.0,1,0
KPK,Lower Kohistan,2000.0,137.0,0.0,0.0,18567,7,1,12,1,0,1,1,1,0,0.0,1,0
KPK,Lower Kohistan,2110.0,143.0,0.0,0.0,20268,5,1,73,0,1,0,1,0,0,0.0,1,0
KPK,Nowshera,850.0,83.0,0.0,0.0,12653,4,2,13,1,1,0,0,1,0,0.0,1,0
KPK,Lower Kohistan,1260.0,93.0,0.0,0.0,13618,5,4,24,1,0,0,1,0,0,0.0,1,0
KPK,Lower Kohistan,960.0,75.0,0.0,0.0,11493,9,4,46,0,1,1,0,0,0,0.0,1,0
KPK,Lower Kohistan,215.0,23.0,0.0,0.0,9565,10,1,15,1,1,0,0,0,0,0.0,1,0
KPK,Lower Kohistan,2860.0,237.0,0.0,0.0,17155,4,3,46,1,1,0,0,0,0,0.0,1,0
KPK,Lower Kohistan,1800.0,125.0,0.0,0.0,15669,11,1,94,0,0,1,1,1,0,0.0,1,0
KPK,Swat,1250.0,150.0,0.0,0.0,15031,6,3,96,1,0,1,1,1,0,0.0,1,0
Balochistan,Jaffarabad,180.0,26.0,0.0,0.0,10590,4,4,96,1,0,1,0,0,0,0.0,1,0
Balochistan,Loralai,750.0,70.0,0.0,0.0,12215,9,4,98,0,0,0,1,0,0,0.0,1,0
Balochistan,Pishin,680.0,65.0,0.0,0.0,10514,4,1,35,1,0,0,0,0,0,0.0,1,0
Balochistan,Pishin,650.0,70.0,0.0,0.0,9653,9,2,18,1,1,0,0,0,0,0.0,1,0
Balochistan,Pishin,1300.0,108.0,0.0,0.0,9096,10,4,83,1,0,1,0,1,0,0.0,1,0
KPK,Nowshera,2500.0,350.0,0.0,0.0,14428,11,4,79,1,0,1,1,1,0,0.0,1,0
Balochistan,Pishin,650.0,63.0,0.0,0.0,7840,3,4,22,1,0,1,1,1,0,0.0,1,0
Balochistan,Pishin,429.0,70.0,0.0,0.0,8618,4,2,25,0,1,1,0,0,0,0.0,1,0
Balochistan,Pishin,90.0,10.0,0.0,0.0,13171,4,4,24,0,0,0,0,0,0,0.0,1,0
Balochistan,Pishin,2500.0,340.0,0.0,0.0,11030,9,1,6,1,1,1,1,0,0,0.0,1,0
Balochistan,Pishin,3200.0,270.0,0.0,0.0,4710,8,3,36,1,0,0,0,0,0,0.0,1,0
KPK,Upper Kohistan,210.0,19.0,21.0,4.0,15592,11,4,10,0,1,0,0,0,0,0.1,1,0
KPK,Upper Kohistan,384.0,59.0,0.0,0.0,15341,5,4,12,1,0,1,0,1,0,0.0,1,0
Balochistan,Pishin,1200.0,110.0,0.0,0.0,7969,10,2,69,1,0,1,0,1,0,0.0,1,0
Balochistan,Pishin,900.0,85.0,0.0,0.0,11835,7,3,20,0,0,1,1,1,0,0.0,1,0
Balochistan,Pishin,560.0,60.0,0.0,0.0,13092,7,3,37,1,1,1,0,1,1,0.0,1,0
Balochistan,Pishin,950.0,90.0,0.0,0.0,12793,7,2,18,1,1,0,0,1,0,0.0,1,0
Balochistan,Pishin,850.0,70.0,0.0,0.0,7482,10,1,97,0,1,0,1,1,0,0.0,1,0
Balochistan,Pishin,750.0,58.0,0.0,0.0,9072,9,4,41,0,0,0,0,0,0,0.0,1,0
Balochistan,Sohbat pur,2760.0,400.0,0.0,0.0,10993,9,3,12,1,0,1,0,1,0,0.0,1,0
Balochistan,Sohbat pur,315.0,45.0,0.0,0.0,12926,6,3,97,1,1,0,0,1,0,0.0,1,0
Balochistan,Pishin,530.0,85.0,0.0,0.0,8562,8,1,69,1,0,1,1,0,1,0.0,1,0
Balochistan,Pishin,266.0,46.0,0.0,0.0,9443,3,1,73,1,0,1,1,0,0,0.0,1,0
Balochistan,Pishin,5250.0,350.0,0.0,0.0,6680,8,4,97,1,0,1,1,1,0,0.0,1,0
Balochistan,Loralai,7650.0,755.0,0.0,0.0,6411,7,2,64,1,1,0,1,1,0,0.0,1,0
Balochistan,Loralai,680.0,58.0,0.0,0.0,12437,3,2,30,1,0,1,0,1,0,0.0,1,0
Balochistan,Loralai,320.0,26.0,0.0,0.0,14068,3,1,17,0,1,1,1,0,1,0.0,1,0
Balochistan,Loralai,358.0,42.0,0.0,0.0,9783,5,1,35,0,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,1160.0,90.0,0.0,0.0,13010,6,3,80,1,1,1,0,0,1,0.0,1,0
KPK,Nowshera,2750.0,350.0,0.0,0.0,15362,3,1,40,1,0,1,0,1,0,0.0,1,0
Balochistan,Sohbat pur,297.0,33.0,0.0,0.0,8064,9,3,19,1,1,0,1,1,0,0.0,1,0
KPK,Nowshera,4000.0,500.0,0.0,0.0,17946,4,2,60,1,0,0,1,0,0,0.0,1,0
KPK,Nowshera,7000.0,900.0,0.0,0.0,13707,6,2,47,1,1,1,0,0,1,0.0,1,0
Balochistan,Jaffarabad,260.0,38.0,0.0,0.0,9892,11,3,2,1,1,0,1,0,0,0.0,1,0
KPK,Nowshera,7000.0,920.0,0.0,0.0,12687,10,4,70,1,1,1,1,1,0,0.0,1,0
KPK,Nowshera,3000.0,380.0,0.0,0.0,13954,4,2,42,0,0,0,1,0,0,0.0,1,0
Balochistan,Jaffarabad,300.0,35.0,0.0,0.0,12465,11,4,60,1,0,1,1,0,1,0.0,1,0
KPK,Chitral - Lower,1132.0,180.0,0.0,0.0,14873,3,3,11,1,0,0,0,1,0,0.0,1,0
Balochistan,Kachhi,340.0,50.0,0.0,0.0,9102,8,4,73,1,1,0,1,0,0,0.0,1,0
Balochistan,Loralai,3118.0,297.0,0.0,0.0,10275,5,3,27,1,0,0,1,1,1,0.0,1,0
KPK,Chitral - Upper,567.0,81.0,0.0,0.0,17356,3,3,14,1,1,1,0,0,0,0.0,1,0
Balochistan,Jaffarabad,195.0,25.0,0.0,0.0,9340,10,1,99,0,1,0,0,0,0,0.0,1,0
Balochistan,Killa Saifullah,500.0,100.0,0.0,0.0,11071,8,2,84,1,0,0,0,1,0,0.0,1,0
Balochistan,Killa Saifullah,500.0,100.0,0.0,0.0,14433,6,2,59,1,0,1,0,0,0,0.0,1,0
Balochistan,Kachhi,2375.0,350.0,0.0,0.0,8445,5,3,96,1,0,1,1,0,0,0.0,1,0
Balochistan,Kachhi,3729.0,550.0,0.0,0.0,7574,4,4,8,0,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,665.0,54.0,10.0,1.0,8494,7,1,75,1,0,1,1,0,0,0.015037593984962405,1,0
Balochistan,Loralai,535.0,60.0,0.0,0.0,12746,10,4,66,0,1,1,0,0,1,0.0,1,0
Balochistan,Loralai,1500.0,145.0,0.0,0.0,10986,10,2,5,0,1,1,0,1,0,0.0,1,0
Balochistan,Loralai,385.0,40.0,28.0,5.0,8410,5,4,30,0,1,1,1,1,0,0.07272727272727272,1,0
Balochistan,Loralai,2000.0,170.0,0.0,0.0,11539,11,1,75,0,0,0,1,0,1,0.0,1,0
KPK,Nowshera,1200.0,150.0,0.0,0.0,15496,7,4,80,1,1,1,1,0,1,0.0,1,0
Balochistan,Loralai,670.0,106.0,0.0,0.0,12905,9,2,25,0,0,1,1,1,0,0.0,1,0
KPK,Charsadda,4200.0,440.0,0.0,0.0,20224,11,3,25,1,0,1,1,1,0,0.0,1,0
KPK,Charsadda,1850.0,230.0,0.0,0.0,23527,9,2,75,1,1,0,1,0,0,0.0,1,0
KPK,Charsadda,10000.0,1300.0,0.0,0.0,14164,5,1,62,0,0,1,1,0,0,0.0,1,0
KPK,Charsadda,650.0,100.0,0.0,0.0,16059,4,3,65,1,1,1,1,1,1,0.0,1,0
KPK,Charsadda,3400.0,350.0,0.0,0.0,15292,9,1,97,1,0,1,1,0,0,0.0,1,0
KPK,Charsadda,9030.0,985.0,0.0,0.0,14220,10,2,1,1,1,0,1,0,1,0.0,1,0
KPK,Charsadda,4000.0,330.0,0.0,0.0,12503,6,4,47,1,1,1,0,0,0,0.0,1,0
KPK,Charsadda,8400.0,730.0,0.0,0.0,11745,3,2,73,0,0,1,0,1,1,0.0,1,1
KPK,Charsadda,1050.0,140.0,0.0,0.0,11593,8,4,27,1,1,0,1,1,0,0.0,1,0
KPK,Charsadda,9050.0,720.0,0.0,0.0,16215,11,3,38,0,0,1,1,1,0,0.0,1,0
KPK,Charsadda,550.0,78.0,0.0,0.0,13440,6,4,19,1,0,1,1,1,1,0.0,1,0
KPK,Charsadda,820.0,90.0,0.0,0.0,7265,5,4,40,0,1,1,1,0,0,0.0,1,0
Balochistan,Loralai,457.0,62.0,0.0,0.0,9516,8,3,81,1,0,1,1,1,1,0.0,1,0
Balochistan,Loralai,9000.0,1125.0,0.0,0.0,11212,8,1,12,1,0,0,1,0,0,0.0,1,0
Balochistan,Killa Saifullah,1950.0,300.0,19.0,2.0,15658,6,3,66,1,1,1,1,1,0,0.009743589743589744,1,0
KPK,Chitral - Upper,312.0,48.0,0.0,0.0,16119,9,1,72,1,1,1,1,1,1,0.0,1,0
KPK,Chitral - Upper,233.0,41.0,0.0,0.0,10563,4,3,33,1,0,1,1,0,1,0.0,1,0
KPK,Chitral - Upper,410.0,66.0,0.0,0.0,8310,3,4,13,0,0,0,1,1,0,0.0,1,0
KPK,Chitral - Upper,160.0,26.0,0.0,0.0,12841,8,2,43,1,0,1,0,1,0,0.0,1,0
Balochistan,Sohbat pur,390.0,55.0,0.0,0.0,9920,5,4,21,0,1,0,0,0,0,0.0,1,0
Balochistan,Loralai,4000.0,500.0,11.0,1.0,10180,5,1,83,1,1,1,0,0,0,0.00275,1,0
Balochistan,Jaffarabad,200.0,23.0,0.0,0.0,17389,3,2,34,1,0,0,0,1,0,0.0,1,0
Balochistan,Jaffarabad,95.0,15.0,0.0,0.0,9422,4,4,30,1,0,0,0,0,0,0.0,1,0
Balochistan,Killa Saifullah,250.0,30.0,0.0,0.0,10904,5,4,20,0,0,1,1,0,1,0.0,1,0
KPK,Nowshera,7000.0,950.0,0.0,0.0,17895,3,2,82,1,0,1,0,0,0,0.0,1,0
Balochistan,Killa Saifullah,300.0,40.0,0.0,0.0,6493,10,4,85,0,0,1,0,0,0,0.0,1,0
KPK,Chitral - Upper,637.0,91.0,0.0,0.0,8945,8,1,36,0,1,1,1,1,0,0.0,1,0
Balochistan,Kachhi,1255.0,185.0,0.0,0.0,12255,11,3,7,1,0,1,0,0,0,0.0,1,0
Balochistan,Sohbat pur,360.0,40.0,0.0,0.0,12373,3,1,69,0,0,0,0,0,0,0.0,1,0
Balochistan,Sohbat pur,245.0,35.0,0.0,0.0,7271,6,4,9,1,0,0,1,1,0,0.0,1,0
Balochistan,Jaffarabad,430.0,60.0,0.0,0.0,14208,6,2,45,0,1,0,1,0,1,0.0,1,0
KPK,Nowshera,6000.0,800.0,0.0,0.0,18825,7,2,18,1,1,0,0,1,0,0.0,1,0
KPK,Nowshera,5500.0,750.0,0.0,0.0,11442,4,2,47,1,0,0,1,0,0,0.0,1,0
KPK,Nowshera,18000.0,2600.0,0.0,0.0,17496,3,4,1,1,0,1,1,0,1,0.0,1,0
Balochistan,Loralai,310.0,32.0,9.0,1.0,7028,11,2,78,1,0,0,1,1,0,0.02903225806451613,1,0
Balochistan,Loralai,239.0,32.0,0.0,0.0,8301,7,1,72,1,1,1,0,1,0,0.0,1,0
KPK,Nowshera,2400.0,300.0,0.0,0.0,20950,10,1,53,0,0,1,1,1,1,0.0,1,0
KPK,Nowshera,1920.0,240.0,0.0,0.0,15694,5,4,37,1,0,1,1,0,1,0.0,1,0
KPK,Nowshera,1600.0,250.0,0.0,0.0,16961,6,1,20,1,1,1,1,1,0,0.0,1,0
KPK,Nowshera,1800.0,200.0,0.0,0.0,10418,6,1,95,1,0,1,0,0,1,0.0,1,0
KPK,Nowshera,2000.0,250.0,0.0,0.0,21353,8,2,71,1,1,0,1,0,0,0.0,1,0
KPK,Nowshera,3500.0,500.0,0.0,0.0,11326,6,3,58,1,0,0,0,0,0,0.0,1,0
KPK,Nowshera,7500.0,1300.0,0.0,0.0,18074,7,1,41,1,0,1,1,1,0,0.0,1,0
KPK,Nowshera,1000.0,135.0,0.0,0.0,12015,7,4,38,1,0,1,1,1,0,0.0,1,0
Balochistan,Killa Saifullah,535.0,75.0,94.0,12.0,7650,10,2,44,0,0,1,0,1,0,0.17570093457943925,2,0
Balochistan,Loralai,315.0,35.0,0.0,0.0,9033,11,1,15,1,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,230.0,22.0,0.0,0.0,12440,10,4,35,1,1,0,1,1,0,0.0,1,0
Balochistan,Loralai,200.0,16.0,10.0,2.0,6307,7,4,81,0,0,1,1,1,0,0.05,1,0
KPK,Upper Kohistan,1900.0,323.0,0.0,0.0,18271,8,2,27,0,0,0,0,1,1,0.0,1,0
KPK,Upper Kohistan,400.0,50.0,30.0,4.0,18134,6,4,21,1,1,1,1,0,1,0.075,1,0
Balochistan,Jaffarabad,56.0,8.0,0.0,0.0,5177,4,3,40,1,1,1,1,1,0,0.0,1,0
Balochistan,Loralai,10000.0,1250.0,36.0,3.0,10553,7,3,44,1,1,1,0,0,0,0.0036,1,0
KPK,Chitral - Upper,291.0,45.0,0.0,0.0,10629,3,1,90,1,1,1,0,1,0,0.0,1,0
KPK,Chitral - Upper,402.0,60.0,0.0,0.0,13125,3,3,44,1,0,0,1,0,0,0.0,1,0
KPK,Upper Kohistan,306.0,47.0,0.0,0.0,16437,3,2,5,1,0,0,1,1,1,0.0,1,0
KPK,Upper Kohistan,415.0,64.0,0.0,0.0,12439,6,2,97,0,0,1,1,0,1,0.0,1,0
Balochistan,Loralai,5000.0,625.0,27.0,3.0,11565,7,1,49,0,1,1,1,0,0,0.0054,1,0
Balochistan,Killa Saifullah,480.0,65.0,0.0,0.0,10890,6,3,69,1,0,1,1,0,0,0.0,1,0
KPK,Chitral - Upper,222.0,32.0,0.0,0.0,14438,8,4,92,1,1,1,0,1,0,0.0,1,0
KPK,Chitral - Upper,178.0,25.0,0.0,0.0,17497,4,4,21,1,0,0,0,1,1,0.0,1,0
Balochistan,Kachhi,238.0,35.0,0.0,0.0,7959,7,3,8,1,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,420.0,45.0,0.0,0.0,10696,8,2,66,1,1,1,0,1,0,0.0,1,0
Balochistan,Loralai,740.0,100.0,0.0,0.0,10879,7,2,37,1,0,1,0,0,1,0.0,1,0
Balochistan,Loralai,415.0,63.0,0.0,0.0,7856,8,2,14,0,1,1,0,1,0,0.0,1,0
Balochistan,Loralai,204.0,27.0,0.0,0.0,15597,10,2,34,1,1,0,1,1,0,0.0,1,0
Balochistan,Loralai,200.0,20.0,0.0,0.0,11421,4,3,60,1,0,1,1,1,1,0.0,1,0
KPK,Nowshera,3200.0,330.0,0.0,0.0,16574,9,1,61,1,1,1,0,0,0,0.0,1,0
KPK,Nowshera,900.0,112.0,0.0,0.0,12364,8,3,46,1,0,1,1,0,1,0.0,1,0
KPK,Nowshera,2000.0,300.0,0.0,0.0,11155,10,3,21,1,0,1,1,0,1,0.0,1,0
KPK,Nowshera,2000.0,185.0,0.0,0.0,14784,11,2,91,0,1,1,1,1,1,0.0,1,0
KPK,Nowshera,5000.0,500.0,0.0,0.0,12287,10,2,18,0,1,1,1,1,0,0.0,1,0
Balochistan,Kachhi,1700.0,250.0,0.0,0.0,7537,7,2,61,1,1,1,1,0,0,0.0,1,0
Balochistan,Kachhi,80.0,12.0,20.0,3.0,12890,6,1,69,1,1,1,0,1,1,0.25,3,0
Balochistan,Kachhi,60.0,8.0,0.0,0.0,11238,5,1,34,1,1,1,1,0,0,0.0,1,0
Balochistan,Kachhi,150.0,20.0,65.0,9.0,12466,11,2,82,1,0,0,1,1,0,0.43333333333333335,4,0
Balochistan,Killa Saifullah,2100.0,410.0,18.0,2.0,15690,9,2,54,0,0,0,1,0,0,0.008571428571428572,1,0
Balochistan,Loralai,136.0,16.0,0.0,0.0,9263,3,3,99,0,1,0,0,1,0,0.0,1,1
Balochistan,Kachhi,509.0,71.0,0.0,0.0,7738,5,3,90,0,1,0,1,0,0,0.0,1,1
Balochistan,Kachhi,9966.0,1470.0,0.0,0.0,7331,5,3,29,1,0,1,0,1,0,0.0,1,0
Balochistan,Kachhi,1020.0,150.0,0.0,0.0,7552,8,2,41,1,0,1,1,0,0,0.0,1,0
Balochistan,Kachhi,476.0,70.0,0.0,0.0,9768,4,3,92,1,0,1,0,0,0,0.0,1,0
Balochistan,Kachhi,1496.0,220.0,0.0,0.0,11023,6,4,70,0,1,1,1,1,0,0.0,1,0
Balochistan,Kachhi,1630.0,240.0,0.0,0.0,10830,4,1,90,1,0,1,0,1,0,0.0,1,0
Balochistan,Jaffarabad,120.0,20.0,0.0,0.0,12481,7,3,58,0,1,0,1,1,1,0.0,1,0
Balochistan,Jaffarabad,70.0,12.0,0.0,0.0,10039,6,1,82,0,0,1,0,1,0,0.0,1,0
Balochistan,Sohbat pur,217.0,31.0,0.0,0.0,14360,6,3,30,1,1,1,0,1,0,0.0,1,0
Balochistan,Jaffarabad,48.0,8.0,0.0,0.0,9206,6,1,33,1,1,1,0,1,0,0.0,1,0
Balochistan,Jaffarabad,253.0,37.0,0.0,0.0,18160,6,2,63,1,0,1,0,0,0,0.0,1,0
Balochistan,Kachhi,615.0,90.0,0.0,0.0,11877,7,4,96,0,0,0,0,0,0,0.0,1,0
Balochistan,Kachhi,3525.0,520.0,0.0,0.0,7428,4,1,90,1,0,1,0,0,0,0.0,1,0
KPK,Chitral - Upper,250.0,45.0,0.0,0.0,10166,8,3,86,1,1,0,0,0,0,0.0,1,0
Balochistan,Kachhi,408.0,60.0,0.0,0.0,11447,3,2,34,1,0,1,1,0,0,0.0,1,0
KPK,Nowshera,3180.0,265.0,0.0,0.0,14555,4,4,49,1,0,1,0,1,1,0.0,1,0
Balochistan,Jaffarabad,360.0,45.0,0.0,0.0,12142,5,2,12,0,0,1,0,1,0,0.0,1,0
Balochistan,Jaffarabad,212.0,30.0,0.0,0.0,11419,4,2,22,1,0,1,0,0,0,0.0,1,0
Balochistan,Jaffarabad,240.0,30.0,0.0,0.0,9781,5,1,85,1,0,0,1,1,0,0.0,1,0
KPK,Nowshera,288.0,32.0,0.0,0.0,16948,10,4,24,0,1,0,0,0,0,0.0,1,0
KPK,Charsadda,3050.0,400.0,0.0,0.0,13971,5,2,56,1,1,0,1,0,1,0.0,1,0
KPK,Charsadda,3550.0,383.0,0.0,0.0,18235,3,3,25,1,0,1,0,0,0,0.0,1,0
KPK,Nowshera,1500.0,240.0,0.0,0.0,12006,10,2,66,1,0,1,1,1,1,0.0,1,0
KPK,Nowshera,7000.0,1000.0,0.0,0.0,11244,10,3,1,1,1,0,1,1,0,0.0,1,0
KPK,Nowshera,800.0,100.0,0.0,0.0,20779,9,2,74,1,0,1,1,0,0,0.0,1,0
KPK,Nowshera,3500.0,450.0,0.0,0.0,13026,6,4,34,1,0,0,0,0,0,0.0,1,0
KPK,Nowshera,5000.0,700.0,0.0,0.0,11067,7,4,5,1,1,1,1,1,1,0.0,1,0
KPK,Nowshera,1960.0,320.0,0.0,0.0,9773,8,4,17,0,1,1,1,0,0,0.0,1,0
Balochistan,Jaffarabad,276.0,40.0,0.0,0.0,10461,8,1,1,0,1,0,1,0,0,0.0,1,0
Balochistan,Jaffarabad,330.0,40.0,0.0,0.0,10174,9,2,78,0,1,1,1,0,0,0.0,1,0
Balochistan,Kachhi,478.0,70.0,14.0,2.0,6571,6,4,21,0,0,0,1,0,0,0.029288702928870293,1,0
KPK,Nowshera,1295.0,185.0,0.0,0.0,14522,10,3,6,1,0,1,0,0,1,0.0,1,0
Balochistan,Kachhi,475.0,70.0,0.0,0.0,11682,4,3,75,1,0,0,0,0,0,0.0,1,0
Balochistan,Kachhi,2034.0,300.0,0.0,0.0,13249,11,2,39,1,0,1,0,0,0,0.0,1,0
Balochistan,Kachhi,1085.0,160.0,0.0,0.0,13161,8,4,59,1,0,0,1,1,0,0.0,1,0
KPK,Tank,1457.0,165.0,0.0,0.0,15401,3,1,20,0,0,1,0,1,0,0.0,1,0
KPK,Tank,10170.0,1130.0,0.0,0.0,18185,3,4,84,0,1,1,1,0,1,0.0,1,0
KPK,Tank,550.0,60.0,40.0,5.0,17415,10,2,85,1,1,1,1,1,1,0.07272727272727272,1,0
KPK,Tank,1900.0,256.0,0.0,0.0,14890,9,1,64,0,0,0,1,1,0,0.0,1,0
KPK,Tank,1200.0,93.0,0.0,0.0,13239,5,3,24,1,1,0,1,1,0,0.0,1,0
KPK,Tank,1050.0,85.0,0.0,0.0,15995,10,4,41,1,0,1,0,1,0,0.0,1,0
KPK,Tank,2500.0,285.0,0.0,0.0,16530,10,4,90,1,1,0,1,1,0,0.0,1,0
KPK,Tank,5000.0,570.0,0.0,0.0,13282,9,3,67,0,0,0,1,1,0,0.0,1,0
KPK,Nowshera,590.0,65.0,0.0,0.0,15499,7,2,38,1,0,0,1,1,0,0.0,1,0
KPK,Nowshera,1400.0,200.0,0.0,0.0,18708,10,1,38,1,1,1,1,1,0,0.0,1,0
Balochistan,Jaffarabad,280.0,35.0,0.0,0.0,9054,7,3,28,0,0,0,0,0,0,0.0,1,0
KPK,Nowshera,5500.0,900.0,0.0,0.0,17563,3,1,10,1,0,0,1,1,0,0.0,1,0
Balochistan,Killa Saifullah,420.0,65.0,10.0,1.0,7681,10,2,24,1,1,1,0,1,0,0.023809523809523808,1,0
Balochistan,Jaffarabad,735.0,100.0,0.0,0.0,9289,9,1,62,1,1,1,1,1,0,0.0,1,0
Balochistan,Jaffarabad,790.0,120.0,0.0,0.0,8543,9,1,52,1,0,1,1,0,1,0.0,1,1
Balochistan,Jaffarabad,287.0,41.0,0.0,0.0,10245,4,4,71,1,1,1,1,1,0,0.0,1,0
Balochistan,Jaffarabad,188.0,23.0,0.0,0.0,16943,5,3,87,1,1,1,0,0,0,0.0,1,0
Balochistan,Jaffarabad,160.0,20.0,0.0,0.0,4398,5,1,87,0,0,1,0,0,0,0.0,1,0
Balochistan,Jaffarabad,130.0,18.0,0.0,0.0,12058,8,1,24,1,0,0,1,0,0,0.0,1,0
KPK,Nowshera,1200.0,200.0,0.0,0.0,12074,8,3,95,0,1,1,0,0,1,0.0,1,0
KPK,Dir Upper,1300.0,172.0,0.0,0.0,10976,5,3,50,1,1,1,1,1,0,0.0,1,0
Balochistan,Jaffarabad,168.0,21.0,0.0,0.0,13266,7,2,86,0,0,1,1,0,0,0.0,1,0
Balochistan,Killa Saifullah,380.0,60.0,0.0,0.0,10192,11,3,91,1,0,1,1,1,1,0.0,1,0
Balochistan,Kachhi,691.0,102.0,0.0,0.0,6766,9,1,38,0,1,1,1,0,0,0.0,1,0
Balochistan,Kachhi,205.0,30.0,0.0,0.0,7854,11,4,69,0,1,1,1,0,0,0.0,1,0
Balochistan,Loralai,620.0,90.0,0.0,0.0,12038,4,2,18,1,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,820.0,117.0,0.0,0.0,7808,3,3,72,1,0,1,1,1,0,0.0,1,0
Balochistan,Loralai,1200.0,95.0,0.0,0.0,10649,4,3,99,1,0,1,1,0,0,0.0,1,0
Balochistan,Loralai,440.0,67.0,0.0,0.0,10136,8,3,49,0,1,0,1,0,0,0.0,1,0
Balochistan,Loralai,1150.0,105.0,0.0,0.0,8045,9,2,17,1,1,1,1,0,1,0.0,1,0
Balochistan,Loralai,200.0,20.0,0.0,0.0,16431,10,2,76,1,1,1,1,1,0,0.0,1,0
Balochistan,Loralai,360.0,36.0,0.0,0.0,11901,8,3,86,1,0,1,1,0,0,0.0,1,0
Balochistan,Killa Saifullah,900.0,120.0,25.0,3.0,3924,8,2,53,1,0,1,1,0,1,0.027777777777777776,1,0
Balochistan,Pishin,1350.0,109.0,0.0,0.0,10559,5,4,6,0,0,0,0,1,1,0.0,1,0
